daerah;X1;X2;X3;X4;X5
1;48.85;47.22;72.45;15.42;70729
2;42.08;74.8;74.36;11.39;111668
3;45.08;67.28;53.99;12.96;8946
4;40.48;82.37;73.8;8.04;150676
5;40.39;65.97;61.22;9.8;130347
6;33.72;78.45;85.71;12.25;191618
7;49.22;60.12;63.91;11.04;322698
8;42.47;52.15;64.81;10.87;125853
9;31.56;59.97;67.76;11;33334
10;44.68;70.36;78.24;8.64;225917
11;48.98;24.19;56.63;14.54;95497
12;55.01;36.49;80.19;13.05;91679
13;51.42;44.04;75.61;20.52;13446
14;50.39;53.99;69.67;10.34;203958
15;48.63;93.94;91.01;6.23;311318
16;59.27;81.04;87.46;10.19;135952
17;41.85;84.07;90.58;10.48;165534
18;44.27;77.87;88.97;11.98;152964
19;57.99;86.51;87.7;12.28;81247
20;48.07;82.17;80.69;10.48;81221
21;39.73;74.13;82.24;14.91;107007
22;39.34;76.2;94.02;14.34;151789
23;43.09;64.45;86.36;16.87;133655
24;53.98;81.48;81.22;14.42;130877
25;50.94;93.97;86.14;12.8;150356
26;45.07;37.26;79.04;21.32;166049
27;47.2;55.77;85.17;23.56;123832
28;37.53;19.71;88.09;16;105049
29;34.49;16.34;74.33;19.62;101979
30;49.82;89.54;95.22;8.49;70445
31;54.75;94.28;80.43;8.03;39706
32;40.49;83.2;94.16;4.17;163864
33;45.93;83.88;99.76;7.84;40963
34;57.01;76.58;98.37;7.53;39826
35;48.33;93.35;98.05;5.73;33421
36;43.65;90.81;96.8;4.94;38994
37;44.22;94.69;95.43;5.39;483126
38;47.64;90.37;32.42;4.31;33002
