wilayah;X1;X2;X3;X4;X5;X6;X7
1;48.85;47.22;72.45;15.42;7.02;19.71;24
2;42.08;74.8;74.36;11.39;7.01;22.21;31
3;45.08;67.28;53.99;12.96;7.20;18.28;22
4;40.48;82.37;73.8;8.04;7.82;18.91;32
5;40.39;65.97;61.22;9.8;7.26;20.67;24
6;33.72;78.45;85.71;12.25;7.65;23.01;37
7;49.22;60.12;63.91;11.04;7.17;25.85;39
8;42.47;52.15;64.81;10.87;6.20;32.66;25
9;31.56;59.97;67.76;11;6.06;50.20;50
10;44.68;70.36;78.24;8.64;7.11;27.02;45
11;48.98;24.19;56.63;14.54;5.55;46.09;25
12;55.01;36.49;80.19;13.05;6.03;48.62;17
13;51.42;44.04;75.61;20.52;5.68;56.24;33
14;50.39;53.99;69.67;10.34;6.82;44.13;33
15;48.63;93.94;91.01;6.23;10.23;20.63;26
16;59.27;81.04;87.46;10.19;8.15;20.12;27
17;41.85;84.07;90.58;10.48;8.06;24.68;34
18;44.27;77.87;88.97;11.98;7.38;27.24;20
19;57.99;86.51;87.7;12.28;7.30;27.66;26
20;48.07;82.17;80.69;10.48;7.94;19.76;22
21;39.73;74.13;82.24;14.91;6.66;22.11;24
22;39.34;76.2;94.02;14.34;6.71;34.86;36
23;43.09;64.45;86.36;16.87;6.48;28.18;33
24;53.98;81.48;81.22;14.42;7.54;30.11;33
25;50.94;93.97;86.14;12.8;8.95;20.10;32
26;45.07;37.26;79.04;21.32;5.14;48.85;22
27;47.2;55.77;85.17;23.56;4.12;43.95;21
28;37.53;19.71;88.09;16;6.25;42.73;20
29;34.49;16.34;74.33;19.62;5.22;42.81;30
30;49.82;89.54;95.22;8.49;9.90;19.39;9
31;54.75;94.28;80.43;8.03;9.89;16.05;3
32;40.49;83.2;94.16;4.17;10.15;18.33;16
33;45.93;83.88;99.76;7.84;8.48;18.51;6
34;57.01;76.58;98.37;7.53;9.09;33.33;8
35;48.33;93.35;98.05;5.73;9.98;19.02;5
36;43.65;90.81;96.8;4.94;11.10;20.07;6
37;44.22;94.69;95.43;5.39;10.45;19.84;63
38;47.64;90.37;32.42;4.31;8.46;24.41;5
