wilayah;X1;X2;X3;X4;X5;X6;X7
1;42.07;51.81;69.49;14.19;7.19;19.56;24
2;53.78;65.97;81.09;10.36;7.17;21.55;31
3;48.01;70.3;52.59;12.02;7.27;18.01;22
4;48.32;78.62;69.93;7.27;8.06;18.67;32
5;41.78;63.96;68.08;9.72;7.27;20.49;24
6;41.06;77.23;64.94;11.31;7.68;22.44;37
7;51.73;56.41;77.84;10.37;7.18;25.40;39
8;50.93;61.13;70.12;9.98;6.21;32.29;25
9;45.38;52.35;57.42;9.98;6.07;50.19;50
10;42.88;68.06;74;7.8;7.12;25.62;45
11;41.97;29.39;64.01;14.39;5.62;45.40;25
12;47.95;45.83;61.99;11.82;6.11;48.47;17
13;45.24;39.76;61.83;18.71;5.71;56.13;33
14;52.97;64.67;66;9.45;6.83;43.65;33
15;61.2;90.64;91.13;5.69;10.24;20.26;26
16;46.59;83.65;73.86;10.08;8.18;19.18;27
17;44.22;84.6;71.7;9.56;8.21;24.70;34
18;42.97;82.16;71.26;12.11;7.61;27.07;20
19;56.49;81.55;81.97;11.42;7.57;27.61;26
20;53.27;82.46;85.67;10.31;7.95;19.56;22
21;40.47;56.69;79.36;14.83;6.88;21.41;24
22;51.9;79.28;78.91;13.16;6.77;35.00;36
23;48.57;74.74;81.98;15.31;6.52;27.31;33
24;56.71;93.66;75.52;13.8;7.83;30.13;33
25;58.4;94.41;88.42;11.89;8.96;19.88;32
26;49.37;40.34;60.54;19.59;5.33;48.90;22
27;56.73;67.88;81.16;21.21;4.36;42.34;21
28;39.26;16.64;71.13;14.47;6.35;41.90;20
29;40.72;17.68;79.79;20.16;5.23;42.68;30
30;39.95;93.96;68.78;7.68;9.91;18.42;9
31;53.42;94.4;72.39;7.44;9.90;15.60;3
32;38.24;84.86;84.72;4.1;10.16;17.04;16
33;58.1;83.49;83.18;7.2;8.49;17.16;6
34;54.1;83.04;89.11;6.77;9.10;32.76;8
35;61.78;93.36;80.31;5.5;9.99;18.87;5
36;41.99;94.51;93.62;4.49;11.11;19.85;6
37;51.05;87.18;96.29;4.88;10.46;19.55;63
38;47.57;90.85;88.61;3.89;8.77;23.95;5
