Tahun;Wilayah;X1;X2;X3;X4;X5;T;;;
2014;1;59.28;48.57;58.71;16.18;72031;0.668646081;;;
2015;1;59.34;48.54;60.53;16.68;72072;0.689655172;;;
2016;1;58.94;52.71;65.9;15.49;71453;0.696616541;;;
2017;1;48.85;47.22;72.45;15.42;70729;0.70497449;;;
2018;1;42.07;51.81;69.49;14.19;70018;0.712840467;;;
2014;2;52.09;70.95;79.54;11.53;113687;0.789429929;;;
2015;2;60.98;63.76;75.36;11.91;114179;0.803817734;;;
2016;2;60.14;75.26;86.31;11.75;113429;0.809398496;;;
2017;2;42.08;74.8;74.36;11.39;111668;0.815178571;;;
2018;2;53.78;65.97;81.09;10.36;109995;0.819066148;;;
2014;3;50.3;58.72;51.5;13.1;90307;0.856769596;;;
2015;3;59.84;60.59;51.09;13.39;90456;0.895812808;;;
2016;3;57.45;63.25;55.39;13.24;90136;0.905263158;;;
2017;3;45.08;67.28;7;12.96;8946;0.91619898;;107.98;53.99
2018;3;48.01;70.3;52.59;12.02;88788;0.926459144;;;
2014;4;50.59;71.65;66.65;8.75;148166;0.89631829;;;
2015;4;52.3;74.01;74.87;8.57;150401;0.93682266;;;
2016;4;59.07;76.76;67.67;8.23;151017;0.946992481;;;
2017;4;40.48;82.37;73.8;8.04;150676;0.959821429;;;
2018;4;48.32;78.62;69.93;7.27;150156;0.971984436;;;
2014;5;46.39;61.63;68.39;10.22;131257;0.855700713;;;
2015;5;61.48;59.6;74.4;9.97;131806;0.88362069;;;
2016;5;57.72;71.52;79.15;9.88;131765;0.889473684;;;
2017;5;40.39;65.97;61.22;9.8;130347;0.897831633;;;
2018;5;41.78;63.96;68.08;9.72;128512;0.904280156;;;
2014;6;49.59;67.84;66.82;12.77;191419;0.806532067;;;
2015;6;54.08;68.1;68.63;12.91;193316;0.81046798;;;
2016;6;53.17;78.92;65.48;12.72;193286;0.811654135;;;
2017;6;33.72;78.45;85.71;12.25;191618;0.812882653;;;
2018;6;41.06;77.23;64.94;11.31;191759;0.812062257;;;
2014;7;52.15;61.23;81.21;11.07;323172;0.778741093;;;
2015;7;60.48;56.06;75.41;11.53;32709;0.79273399;;;
2016;7;61.95;56.9;65.98;11.49;327148;0.794736842;;;
